signal,dataset,group,source_file,n_samples,mean,std,median,iqr,skewness,excess_kurtosis,diff_std,roughness,autocorr_lag1,autocorr_lag5,autocorr_lag10,autocorr_lag20,autocorr_lag50,autocorr_lag100,spectral_entropy,dominant_frequency,spectral_energy_0.00_0.01,spectral_energy_0.01_0.05,spectral_energy_0.05_0.20,spectral_energy_0.20_0.50,zero_crossing_rate,permutation_entropy_m5,dfa_exponent,nonlinear_prediction_error
NLM_sac_ascf_rho,NLM,UNASSIGNED,NLM_sac_ascf_rho.txt,33585,12646.628948518923,4149.6747508203025,11564.813965,3063.957568,1.9510018082070968,3.750030304200984,471.10311753126797,0.11352772104323137,0.9935553330621715,0.9170659648970624,0.8494585700343156,0.7799488916384691,0.5434263616450674,0.075183594305756,0.5021694349062976,0.0013101086794700015,0.8736224336243766,0.09550059396581165,0.030029004938270078,0.000847967471541659,0.03168175321581706,0.813449139342247,1.1546265918742196,0.2297188599811071
NLM_sac_ascf_theta,NLM,UNASSIGNED,NLM_sac_ascf_theta.txt,30881,12091.474399728442,4703.944822255244,11515.626974,7226.070143,0.704969495004955,0.44205534045760997,502.74014282685675,0.10687628401768214,0.9942883472820927,0.9391492452007018,0.9213326970304906,0.9096954010840548,0.8662286779972185,0.8007327164766072,0.42080156142153174,0.00012952948414882937,0.9314468957335729,0.04020146214199339,0.027533245997711182,0.0008183961267227139,0.024740932642487046,0.7900117064094466,1.2631591881243034,0.1937314165806873
lorenz,REFERENCE,Lorenz_reference,lorenz.txt,16384,0.3125807988891601,7.918618789908148,0.42519850000000003,10.788127249999999,-0.06603378740938755,-0.683785103255643,0.43051470227170374,0.05436739836755009,0.9985221743603715,0.9640376512918244,0.8672723612160258,0.5987643491205035,0.16917567440772138,0.11227476545117554,0.5825873863565437,0.0003662109375,0.7728246261702946,0.22709167447521134,8.089283611383382e-05,2.8061278062495367e-06,0.0061649270585362875,0.21770436590671605,1.2244195717698307,0.03269631319427234
sac_ascf_alpha,SAC,UNASSIGNED,sac_ascf_alpha.txt,32772,5812.198464115709,2481.939331036097,5222.0845,3213.7610000000004,2.4822694390077453,14.978939139122062,935.3799009707363,0.37687460336923617,0.9289848455857319,0.9046628413486159,0.8908081142190001,0.8668443093337417,0.7947096417619397,0.7057238877793629,0.3816243133682701,6.102770657878677e-05,0.8966435525224844,0.02761622341916043,0.03366765976845214,0.042069357439558135,0.10036312593451527,0.9921251118060813,1.0813214842141352,0.3185613789297432
sac_ascf_beta,SAC,UNASSIGNED,sac_ascf_beta.txt,30124,18844.07563922454,10051.255852098022,16761.965,14770.042500000003,0.6354030359876285,-0.41662381245994196,1274.263646800081,0.12677656061596532,0.9919633588414897,0.9784852250775476,0.9657808765411382,0.9307637823045195,0.7919369027012346,0.6338409050664656,0.426786407308132,6.639224538573895e-05,0.9697976733902394,0.018040911246084403,0.00794234342495409,0.004218584936244662,0.04229326428310593,0.9769885242297545,1.3267716833198961,0.21158928103439245
sac_ascf_delta,SAC,UNASSIGNED,sac_ascf_delta.txt,34051,13828.78653023406,3814.677730406197,13643.14,4858.564999999999,0.5670127026985589,0.6552557132533812,1188.557652188117,0.31157485276260966,0.9514592998161712,0.8812539900490836,0.8548114959073186,0.8073025215200915,0.6400485101124963,0.3604090844810062,0.5696515749131105,5.873542627235617e-05,0.8628379744358722,0.057605662528246435,0.054629663264260636,0.02492669977162065,0.10117474302496329,0.9699350703275359,1.141081133442045,0.4595798286125446
sac_ascf_gamma,SAC,UNASSIGNED,sac_ascf_gamma.txt,33269,18353.3929776158,1782.922612788297,18254.7692,2422.1538,0.3254504448934219,0.19067841290921628,1156.7414141755448,0.6487894684147435,0.789540197078924,0.6552107095710654,0.5539944382134413,0.4005183193047034,0.24122585852866152,0.2621847621651695,0.7012574648410042,0.0001502900598154438,0.4804024704392936,0.2672085091126931,0.1279930268432838,0.12439599360472955,0.20794757725141277,0.9852504027634019,0.9716421182432977,0.6803055289501344
sac_ascf_kai,SAC,UNASSIGNED,sac_ascf_kai.txt,18801,9682.171735971491,1143.033892564084,9621.745,1551.6049999999996,0.36076855503564537,0.17397268797879928,1636.3903161748567,1.4316201180212271,-0.024821235701190224,-0.003288203843622955,-0.1648774589003675,0.06375587014724972,0.0014989803723758116,-0.0032966809360604576,0.9257905449613695,0.34349236742726447,0.02780144024892942,0.09768913314782209,0.2417259555022875,0.6327834711009609,0.5268085106382979,0.9619944833142613,0.5916179766002803,0.9550539125240392
sac_ascf_kappa,SAC,UNASSIGNED,sac_ascf_kappa.txt,33446,13219.467951296121,8063.090911715114,11362.4615,16147.69233,0.17034670076812297,-1.6378436733430184,855.2334915401653,0.10606769797145288,0.9943747593475194,0.9812474186062996,0.9616428404518812,0.9212038547825641,0.8235081558513819,0.6436180528078638,0.46180022568410495,0.0007175745978592358,0.9575510209939052,0.034262348462226984,0.005274586590251056,0.002912032155064019,0.007355359545522499,0.9811521230316516,1.3848892446097865,0.14856992060533514
sac_ascf_lambda,SAC,UNASSIGNED,sac_ascf_lambda.txt,33079,14338.092991060252,10155.67183633996,14690.461538462,20270.7692307692,0.15862484801567814,-1.5339341824383403,913.2160803458567,0.08992177918531227,0.9959570711468028,0.9893728718295425,0.9801534883791985,0.9619578050691667,0.9152762346153325,0.8809296694410849,0.3123341982485185,0.00012092263974122555,0.9780868212364228,0.01654162299183397,0.0031333664318375,0.0022381893399057782,0.009341556321422093,0.9882035782574461,1.41023800016895,0.12220867969879838
sac_ascf_mu,SAC,UNASSIGNED,sac_ascf_mu.txt,13022,29431.044477806794,10158.914900890633,30634.074999999997,18446.475,-0.3728080631490426,-1.1522396929217316,1205.4979712407546,0.11866404857226125,0.9929596036767855,0.9814280901585837,0.9665796075242626,0.9334570160961421,0.8426237377210195,0.8163284329886866,0.3181515535907624,7.679311933650745e-05,0.9642460193649145,0.0261339766244906,0.005834824873100962,0.003784012023912317,0.03455955763766224,0.9810707179333585,1.3423562464687444,0.10410908666861335
sac_ascf_nu,SAC,UNASSIGNED,sac_ascf_nu.txt,21601,14301.210211934633,3747.9419677111696,13987.0,3082.8199999999997,1.718650067021029,5.5550355218333305,1446.9521316729279,0.3860657780025786,0.9254765211581601,0.8080075400555239,0.7426229251112306,0.6213485124891532,0.2832486745372744,0.20008150101659689,0.6545028448151948,0.0011573538262117495,0.7461706717923908,0.13386080007740891,0.08032477399342788,0.03964375413677232,0.1811574074074074,0.972472524536997,1.1010960852664078,0.45413859032843834
sac_ascf_phi,SAC,UNASSIGNED,sac_ascf_phi.txt,33124,10730.25381424828,1139.4478797316624,10653.5385,1469.9728200000009,0.49784099532970866,0.6595097086183945,763.2843666290777,0.6698721198277446,0.7756308118384552,0.6354877257766114,0.578840935837406,0.5030754590440627,0.3797870328479708,0.3084065842188896,0.7079483734040992,3.0189590629151068e-05,0.5826341470503502,0.13435737499717548,0.15585171913997542,0.12715667372582554,0.2256136219545331,0.9832354177000862,0.9657178608993424,0.6678670536105609
sac_ascf_rho,SAC,UNASSIGNED,sac_ascf_rho.txt,33585,12646.628948518684,4221.92569962824,11584.04,3168.3600000000006,1.92348444299864,3.67016623230544,1357.523577330818,0.32154132353640286,0.9483061432401088,0.8500301453022602,0.7908911499685326,0.7277881464267982,0.5052805610887714,0.07015366563471151,0.5508284753304558,0.0013101086794700015,0.8155097392385204,0.0947704428745718,0.06271913911874075,0.027000678768167242,0.12374940447832301,0.9759723171495449,1.0870343390022141,0.4323784477448558
sac_ascf_theta,SAC,UNASSIGNED,sac_ascf_theta.txt,30881,12091.474399727987,4855.166793320106,11366.77,7224.075000000001,0.815866789879339,0.7567757909299009,1589.769752424546,0.3274387513549075,0.946390999761473,0.8673104605902644,0.8570428883482024,0.8470181711838022,0.8053681913259714,0.7445752168027673,0.478250557871661,0.00012952948414882937,0.8662066807669184,0.04015344948456479,0.0666133227895912,0.027026546958925344,0.0852979274611399,0.9719914813902675,1.1863919163059358,0.39511832125865703
